site_id,pressure,temperature,rel_humidity,last_updt_tmsp
CWAE,,12.3,51.0,2021-06-11 17:25:00
CWAE,,12.0,52.0,2021-06-11 17:26:00
CWAE,,12.3,52.0,2021-06-11 17:31:00
CWAE,,12.3,53.0,2021-06-11 17:32:00
CWEU,,-34.4,71.0,2020-12-01 18:16:00
CWEU,,-34.3,71.0,2020-12-01 18:17:00
CWEU,,-34.2,71.0,2020-12-01 18:18:00
CWEU,,-34.1,71.0,2020-12-01 18:19:00
CWEU,,-33.9,71.0,2020-12-01 18:20:00
CWEU,,-33.7,71.0,2020-12-01 18:21:00
CWEU,,-33.7,72.0,2020-12-01 18:22:00
CWEU,,-33.7,72.0,2020-12-01 18:23:00
CWEU,,-33.7,72.0,2020-12-01 18:24:00
CWEU,,-33.6,72.0,2020-12-01 18:25:00
CWEU,,-33.6,72.0,2020-12-01 18:26:00
CWEU,,-33.6,72.0,2020-12-01 18:27:00
CWEU,,-33.6,72.0,2020-12-01 18:28:00
CWEU,,-33.5,72.0,2020-12-01 18:29:00
CWEU,,-33.6,72.0,2020-12-01 18:30:00
CWEU,,-26.1,75.0,2020-12-29 17:01:00
CWEU,,-26.3,75.0,2020-12-29 17:02:00
CWEU,,-18.0,83.0,2021-01-02 02:29:00
CWEU,,-18.1,83.0,2021-01-02 02:30:00
CWEU,,-18.1,83.0,2021-01-02 02:31:00
CWEU,,-18.1,83.0,2021-01-02 02:32:00
CWEU,,-18.0,83.0,2021-01-02 02:33:00
CWEU,,-17.9,83.0,2021-01-02 02:34:00
CWEU,,-17.9,83.0,2021-01-02 02:35:00
CWEU,,-17.9,83.0,2021-01-02 02:36:00
CWEU,,-17.9,83.0,2021-01-02 02:37:00
CWEU,,-17.7,83.0,2021-01-02 02:38:00
CWEU,,-17.8,83.0,2021-01-02 02:39:00
CWEU,,-17.8,83.0,2021-01-02 02:40:00
CWEU,,-17.8,83.0,2021-01-02 02:41:00
CWEU,,-39.2,67.0,2021-02-01 21:45:00
CWEU,,-39.7,67.0,2021-02-01 21:46:00
CWEU,,-40.1,66.0,2021-02-01 21:47:00
CWEU,,-40.6,66.0,2021-02-01 21:48:00
CWEU,,-40.8,66.0,2021-02-01 21:49:00
CWEU,,-40.7,66.0,2021-02-01 21:50:00
CWEU,,-40.6,66.0,2021-02-01 21:51:00
CWEU,,-40.4,66.0,2021-02-01 21:52:00
CWEU,,-40.4,66.0,2021-02-01 21:53:00
CWEU,,-40.4,66.0,2021-02-01 21:54:00
CWEU,,-31.4,72.0,2021-02-08 14:03:00
CWEU,,-31.5,72.0,2021-02-08 14:04:00
CWEU,,-31.6,72.0,2021-02-08 14:19:00
CWEU,,-31.6,72.0,2021-02-08 14:20:00
CWEU,,-41.0,66.0,2021-02-22 13:35:00
CWEU,,-41.0,66.0,2021-02-22 13:36:00
CWEU,,-28.8,74.0,2021-03-01 16:54:00
CWEU,,-28.8,74.0,2021-03-01 16:55:00
CWEU,,-28.8,74.0,2021-03-01 16:56:00
CWEU,,-28.8,74.0,2021-03-01 16:57:00
CWEU,,-28.8,74.0,2021-03-01 16:58:00
CWEU,,-28.8,74.0,2021-03-01 16:59:00
CWEU,,-28.6,74.0,2021-03-01 17:00:00
CWEU,,-28.6,74.0,2021-03-01 17:01:00
CWEU,,-28.6,74.0,2021-03-01 17:02:00
CWEU,,-28.5,74.0,2021-03-01 17:03:00
CWEU,,-28.4,74.0,2021-03-01 17:04:00
CWEU,,-28.4,74.0,2021-03-01 17:05:00
CWEU,,-28.4,72.0,2021-04-01 16:31:00
CWEU,,-28.5,72.0,2021-04-01 16:32:00
CWEU,,-28.6,72.0,2021-04-01 16:33:00
CWEU,,-28.6,72.0,2021-04-01 16:34:00
CWEU,,-29.1,71.0,2021-04-01 16:35:00
CWEU,,-29.5,71.0,2021-04-01 16:36:00
CWEU,,-29.6,71.0,2021-04-01 16:37:00
CWEU,,-30.0,71.0,2021-04-01 16:38:00
CWEU,,-30.2,71.0,2021-04-01 16:39:00
CWEU,,-30.3,71.0,2021-04-01 16:40:00
CWEU,,-30.0,71.0,2021-04-01 16:41:00
CWEU,,-29.9,71.0,2021-04-01 16:42:00
CWEU,,-29.8,71.0,2021-04-01 16:43:00
CWEU,,-29.6,72.0,2021-04-01 16:44:00
CWEU,,-29.5,72.0,2021-04-01 16:45:00
CWEU,,-29.5,72.0,2021-04-01 16:46:00
CWEU,,-29.3,72.0,2021-04-01 16:47:00
CWEU,,-29.4,72.0,2021-04-01 16:48:00
CWEU,,-29.6,72.0,2021-04-01 16:49:00
CWEU,,-29.9,71.0,2021-04-01 16:50:00
CWEU,,-30.0,71.0,2021-04-01 16:51:00
CWEU,,-30.1,71.0,2021-04-01 16:52:00
CWEU,,-27.7,73.0,2021-04-02 13:14:00
CWEU,,-27.8,73.0,2021-04-02 13:15:00
CWEU,,-1.5,78.0,2021-06-02 22:09:00
CWEU,,-1.5,78.0,2021-06-02 22:10:00
CWEU,,-1.4,79.0,2021-06-02 22:11:00
CWEU,,-1.4,77.0,2021-06-02 22:12:00
CWEU,,-1.5,74.0,2021-06-02 22:13:00
CWEU,,-1.4,77.0,2021-06-02 22:14:00
CWEU,,-1.5,76.0,2021-06-02 22:15:00
CWEU,,-1.5,75.0,2021-06-02 22:16:00
CWEU,,-1.5,76.0,2021-06-02 22:17:00
CWEU,,-1.5,76.0,2021-06-02 22:18:00
CWEU,,-1.5,77.0,2021-06-02 22:19:00
CWEU,,-1.5,77.0,2021-06-02 22:20:00
CWEU,,-1.5,77.0,2021-06-02 22:21:00
CWEU,,-1.5,77.0,2021-06-02 22:22:00
